"","Location ID","Grid","Camera","X","Y","Camera Deployment Begin Date","Camera Deployment End Date","Camera last picture date","Camera Failure Details"
"1","IDN-108-L0001",1,"A",103341,9867882,2019-06-28,2019-11-15,2019-11-15,"Functioning"
"2","IDN-108-L0001",1,"B",103341,9867882,2019-06-28,2019-11-15,NA,"Error"
"3","IDN-108-L0002",2,"A",199767,9844289,2019-06-28,2019-11-15,2019-11-15,"Functioning"
"4","IDN-108-L0002",2,"B",199767,9844289,2019-06-28,2019-11-15,2019-11-15,"Functioning"
"5","IDN-108-L0003",3,"A",225412,9864805,2019-06-29,2019-11-16,NA,"Error"
"6","IDN-108-L0003",3,"B",225412,9864805,2019-06-29,2019-11-16,2019-11-16,"Functioning"
"7","IDN-108-L0006",6,"A",384411,9851469,2019-06-27,2019-11-14,2019-11-14,"Functioning"
"8","IDN-108-L0006",6,"B",384411,9851469,2019-06-27,2019-11-14,2019-11-14,"Functioning"
"9","IDN-108-L0007",7,"A",93083,9767354,2019-06-27,2019-11-14,2019-11-15,"Error"
"10","IDN-108-L0007",7,"B",93083,9767354,2019-06-27,2019-11-14,2019-11-14,"Functioning"
"11","IDN-108-L0009",9,"A",148477,9782741,2019-07-01,2019-11-18,2019-11-18,"Functioning"
"12","IDN-108-L0009",9,"B",148477,9782741,2019-07-01,2019-11-18,2019-11-18,"Functioning"
"13","IDN-108-L0010",10,"A",260289,9763251,2019-07-02,2019-11-18,2019-11-18,"Functioning"
"14","IDN-108-L0010",10,"B",260289,9763251,2019-07-02,2019-11-18,2019-11-18,"Functioning"
"15","IDN-108-L0011",11,"A",307476,9773509,2019-06-29,2019-11-16,2019-11-16,"Functioning"
"16","IDN-108-L0011",11,"B",307476,9773509,2019-06-29,2019-11-16,2019-11-16,"Functioning"
"17","IDN-108-L0012",12,"A",379282,9783767,2019-07-01,2019-11-18,2019-11-18,"Functioning"
"18","IDN-108-L0012",12,"B",379282,9783767,2019-07-01,2019-11-18,2019-11-18,"Functioning"
"19","IDN-108-L0013",13,"A",387488,9749915,2019-07-03,2019-11-20,2019-11-20,"Functioning"
"20","IDN-108-L0013",13,"B",387488,9749915,2019-07-03,2019-11-20,2019-11-20,"Functioning"
"21","IDN-108-L0015",15,"A",163864,9697599,2019-07-03,2019-11-19,2019-11-19,"Functioning"
"22","IDN-108-L0015",15,"B",163864,9697599,2019-07-03,2019-11-19,2019-11-19,"Functioning"
"23","IDN-108-L0017",17,"A",214128,9697599,2019-07-01,2019-11-19,2019-11-19,"Functioning"
"24","IDN-108-L0017",17,"B",214128,9697599,2019-07-01,2019-11-19,2019-11-19,"Functioning"
"25","IDN-108-L0018",18,"A",264392,9714012,2019-07-04,2019-11-20,2019-11-20,"Functioning"
"26","IDN-108-L0018",18,"B",264392,9714012,2019-07-04,2019-11-20,2019-11-20,"Functioning"
"27","IDN-108-L0021",21,"A",488017,9722219,2019-06-29,2019-11-17,2019-11-17,"Functioning"
"28","IDN-108-L0021",21,"B",488017,9722219,2019-06-29,2019-11-17,2019-11-17,"Functioning"
"29","IDN-108-L0022",22,"A",146425,9659645,2019-07-01,2019-11-19,2019-11-19,"Functioning"
"30","IDN-108-L0022",22,"B",146425,9659645,2019-07-01,2019-11-19,2019-11-19,"Functioning"
"31","IDN-108-L0025",25,"A",263366,9645284,2019-05-30,2019-10-22,2019-10-22,"Functioning"
"32","IDN-108-L0025",25,"B",263366,9645284,2019-05-30,2019-10-22,2019-10-22,"Functioning"
